Unknown command: '0.0.0.0:8000'
Type 'manage.py help' for usage.
[17/Jun/2017 16:11:41] "GET /favicon.ico HTTP/1.1" 404 3451
[17/Jun/2017 16:12:00] "GET /view_images?id=11175 HTTP/1.1" 301 0
[17/Jun/2017 16:12:00] "GET /view_images/?id=11175 HTTP/1.1" 200 7795
[17/Jun/2017 16:12:03] "GET /query_images/?query= HTTP/1.1" 200 7534
[17/Jun/2017 16:12:04] "GET /view_images?id=16355 HTTP/1.1" 301 0
[17/Jun/2017 16:12:05] "GET /view_images/?id=16355 HTTP/1.1" 200 5565
[17/Jun/2017 16:33:14] "GET /view_images/?id=16355 HTTP/1.1" 200 5565
[17/Jun/2017 16:33:16] "GET /view_images?id=16349 HTTP/1.1" 301 0
[17/Jun/2017 16:33:16] "GET /view_images/?id=16349 HTTP/1.1" 200 8285
[17/Jun/2017 16:33:18] "GET /view_images?id=16345 HTTP/1.1" 301 0
[17/Jun/2017 16:33:18] "GET /view_images/?id=16345 HTTP/1.1" 200 8221
[17/Jun/2017 16:33:19] "GET /view_images?id=16343 HTTP/1.1" 301 0
[17/Jun/2017 16:33:19] "GET /view_images/?id=16343 HTTP/1.1" 200 5464
[17/Jun/2017 16:33:20] "GET /view_images/?id=16337 HTTP/1.1" 200 8417
[17/Jun/2017 16:33:21] "GET /view_images/?id=16333 HTTP/1.1" 200 6798
[17/Jun/2017 16:33:22] "GET /view_images?id=16332 HTTP/1.1" 301 0
[17/Jun/2017 16:33:22] "GET /view_images/?id=16332 HTTP/1.1" 200 4749
[17/Jun/2017 16:33:27] "GET /view_images?id=16248 HTTP/1.1" 301 0
[17/Jun/2017 16:33:27] "GET /view_images/?id=16248 HTTP/1.1" 200 4563
[17/Jun/2017 16:33:32] "GET /view_images?id=16242 HTTP/1.1" 301 0
[17/Jun/2017 16:33:32] "GET /view_images/?id=16242 HTTP/1.1" 200 4993
[17/Jun/2017 16:33:54] "GET /query_images/?query=%E7%99%BD%E8%99%8E+%E6%97%A0%E6%AF%9B HTTP/1.1" 200 7164
[17/Jun/2017 16:33:57] "GET /view_images?id=15922 HTTP/1.1" 301 0
[17/Jun/2017 16:33:57] "GET /view_images/?id=15922 HTTP/1.1" 200 7215
[17/Jun/2017 16:34:09] "GET /view_images?id=15703 HTTP/1.1" 301 0
[17/Jun/2017 16:34:10] "GET /view_images/?id=15703 HTTP/1.1" 200 6281
[17/Jun/2017 16:34:20] "GET /view_images?id=15519 HTTP/1.1" 301 0
[17/Jun/2017 16:34:20] "GET /view_images/?id=15519 HTTP/1.1" 200 7503
[17/Jun/2017 16:34:32] "GET /view_images?id=13893 HTTP/1.1" 301 0
[17/Jun/2017 16:34:32] "GET /view_images/?id=13893 HTTP/1.1" 200 7463
[17/Jun/2017 16:34:37] "GET /view_images?id=15108 HTTP/1.1" 301 0
[17/Jun/2017 16:34:37] "GET /view_images/?id=15108 HTTP/1.1" 200 6855
[17/Jun/2017 16:47:00] "GET /query_images/?query=%E7%99%BD%E8%99%8E+%E6%97%A0%E6%AF%9B HTTP/1.1" 200 7026
[17/Jun/2017 16:47:04] "GET /query_images/?query=% HTTP/1.1" 200 7578
[17/Jun/2017 16:47:07] "GET /view_images/?id=16310 HTTP/1.1" 200 6715
[17/Jun/2017 16:47:10] "GET /delete_images?id=16310 HTTP/1.1" 301 0
[17/Jun/2017 16:47:11] "GET /delete_images/?id=16310 HTTP/1.1" 200 7
[17/Jun/2017 16:47:12] "GET /view_images/?id=16310 HTTP/1.1" 200 57
[17/Jun/2017 16:47:16] "GET /view_images?id=16286 HTTP/1.1" 301 0
[17/Jun/2017 16:47:16] "GET /view_images/?id=16286 HTTP/1.1" 200 7377
[17/Jun/2017 16:47:20] "GET /query_images/?query=% HTTP/1.1" 200 7510
[17/Jun/2017 16:47:22] "GET /view_images?id=16252 HTTP/1.1" 301 0
[17/Jun/2017 16:47:22] "GET /view_images/?id=16252 HTTP/1.1" 200 6260
[17/Jun/2017 16:47:23] "GET /view_images/?id=16286 HTTP/1.1" 200 7377
